codigo_entrada,algoritmo,heuristica,estados_gerados,estados_visitados,custo_total,sucesso,tamanho_caminho
E1-00,SdE-deterministica,DE,5,1,0,False,1
E1-00,SdE-deterministica,DM,34,16,60,True,16
E1-00,SdE-maior_aclive,DE,5,1,0,False,1
E1-00,SdE-maior_aclive,DM,61,16,60,True,16
E1-00,SdE-estocastica,DE,5,1,0,False,1
E1-00,SdE-estocastica,DM,61,16,65,True,16
E1-01,SdE-deterministica,DE,13,9,41,False,9
E1-01,SdE-deterministica,DM,12,11,50,True,11
E1-01,SdE-maior_aclive,DE,37,9,41,False,9
E1-01,SdE-maior_aclive,DM,41,11,50,True,11
E1-01,SdE-estocastica,DE,37,9,41,False,9
E1-01,SdE-estocastica,DM,41,11,54,True,11
E1-02,SdE-deterministica,DE,16,12,39,False,12
E1-02,SdE-deterministica,DM,17,14,49,True,14
E1-02,SdE-maior_aclive,DE,48,12,39,False,12
E1-02,SdE-maior_aclive,DM,52,14,49,True,14
E1-02,SdE-estocastica,DE,48,12,39,False,12
E1-02,SdE-estocastica,DM,52,14,55,True,14
E1-03,SdE-deterministica,DE,5,1,0,False,1
E1-03,SdE-deterministica,DM,18,12,48,True,12
E1-03,SdE-maior_aclive,DE,5,1,0,False,1
E1-03,SdE-maior_aclive,DM,45,12,48,True,12
E1-03,SdE-estocastica,DE,5,1,0,False,1
E1-03,SdE-estocastica,DM,45,12,49,True,12
E1-04,SdE-deterministica,DE,14,4,14,False,4
E1-04,SdE-deterministica,DM,37,12,46,True,12
E1-04,SdE-maior_aclive,DE,17,4,14,False,4
E1-04,SdE-maior_aclive,DM,45,12,46,True,12
E1-04,SdE-estocastica,DE,17,4,14,False,4
E1-04,SdE-estocastica,DM,45,12,49,True,12
E1-05,SdE-deterministica,DE,5,2,6,False,2
E1-05,SdE-deterministica,DM,30,13,47,True,13
E1-05,SdE-maior_aclive,DE,7,2,6,False,2
E1-05,SdE-maior_aclive,DM,42,13,47,True,13
E1-05,SdE-estocastica,DE,8,2,5,False,2
E1-05,SdE-estocastica,DM,46,13,60,True,13
E1-06,SdE-deterministica,DE,10,3,6,False,3
E1-06,SdE-deterministica,DM,33,11,44,True,11
E1-06,SdE-maior_aclive,DE,12,3,6,False,3
E1-06,SdE-maior_aclive,DM,40,11,44,True,11
E1-06,SdE-estocastica,DE,12,3,6,False,3
E1-06,SdE-estocastica,DM,33,11,47,True,11
E1-07,SdE-deterministica,DE,29,7,28,False,7
E1-07,SdE-deterministica,DM,48,15,66,True,15
E1-07,SdE-maior_aclive,DE,29,7,28,False,7
E1-07,SdE-maior_aclive,DM,57,15,66,True,15
E1-07,SdE-estocastica,DE,29,7,28,False,7
E1-07,SdE-estocastica,DM,57,15,67,True,15
E1-08,SdE-deterministica,DE,9,3,6,False,3
E1-08,SdE-deterministica,DM,41,18,75,True,18
E1-08,SdE-maior_aclive,DE,13,3,6,False,3
E1-08,SdE-maior_aclive,DM,69,18,75,True,18
E1-08,SdE-estocastica,DE,13,3,6,False,3
E1-08,SdE-estocastica,DM,69,18,80,True,18
E1-09,SdE-deterministica,DE,7,4,13,False,4
E1-09,SdE-deterministica,DM,7,6,22,True,6
E1-09,SdE-maior_aclive,DE,13,4,13,False,4
E1-09,SdE-maior_aclive,DM,16,6,22,True,6
E1-09,SdE-estocastica,DE,13,4,13,False,4
E1-09,SdE-estocastica,DM,17,6,24,True,6
E1-10,SdE-deterministica,DE,11,4,11,False,4
E1-10,SdE-deterministica,DM,13,8,37,True,8
E1-10,SdE-maior_aclive,DE,17,4,11,False,4
E1-10,SdE-maior_aclive,DM,29,8,37,True,8
E1-10,SdE-estocastica,DE,17,4,11,False,4
E1-10,SdE-estocastica,DM,29,8,37,True,8
E1-11,SdE-deterministica,DE,4,1,0,False,1
E1-11,SdE-deterministica,DM,11,5,15,True,5
E1-11,SdE-maior_aclive,DE,4,1,0,False,1
E1-11,SdE-maior_aclive,DM,16,5,15,True,5
E1-11,SdE-estocastica,DE,4,1,0,False,1
E1-11,SdE-estocastica,DM,16,5,19,True,5
E1-12,SdE-deterministica,DE,14,4,14,False,4
E1-12,SdE-deterministica,DM,15,6,24,True,6
E1-12,SdE-maior_aclive,DE,17,4,14,False,4
E1-12,SdE-maior_aclive,DM,21,6,24,True,6
E1-12,SdE-estocastica,DE,17,4,14,False,4
E1-12,SdE-estocastica,DM,21,6,22,True,6
E1-13,SdE-deterministica,DE,21,9,32,False,9
E1-13,SdE-deterministica,DM,20,11,44,True,11
E1-13,SdE-maior_aclive,DE,37,9,32,False,9
E1-13,SdE-maior_aclive,DM,41,11,44,True,11
E1-13,SdE-estocastica,DE,37,9,32,False,9
E1-13,SdE-estocastica,DM,41,11,41,True,11
E1-14,SdE-deterministica,DE,6,2,5,False,2
E1-14,SdE-deterministica,DM,6,6,23,True,6
E1-14,SdE-maior_aclive,DE,9,2,5,False,2
E1-14,SdE-maior_aclive,DM,19,6,23,True,6
E1-14,SdE-estocastica,DE,9,2,5,False,2
E1-14,SdE-estocastica,DM,21,6,22,True,6
